,ppac_sorensenIndex,optimisedThreshold
alpinus,0.87 [0.87-0.88],0.47 [0.41-0.65]
argillaceus,0.80 [0.79-0.82],0.29 [0.23-0.35]
balteatus,0.88 [0.87-0.89],0.64 [0.58-0.67]
barbutellus,0.84 [0.84-0.85],0.55 [0.46-0.57]
bohemicus,0.90 [0.90-0.90],0.53 [0.51-0.57]
campestris,0.89 [0.88-0.89],0.58 [0.55-0.59]
cingulatus,0.87 [0.86-0.87],0.46 [0.36-0.48]
confusus,0.79 [0.78-0.80],0.27 [0.22-0.49]
consobrinus,0.89 [0.89-0.90],0.54 [0.52-0.58]
cryptarum,0.76 [0.75-0.76],0.41 [0.37-0.43]
distinguendus,0.77 [0.76-0.77],0.41 [0.41-0.43]
flavidus,0.83 [0.82-0.84],0.44 [0.41-0.48]
gerstaeckeri,0.85 [0.84-0.86],0.50 [0.46-0.58]
hortorum,0.96 [0.96-0.96],0.70 [0.65-0.75]
humilis,0.89 [0.89-0.89],0.60 [0.54-0.64]
hypnorum,0.92 [0.92-0.92],0.57 [0.55-0.62]
jonellus,0.89 [0.89-0.89],0.51 [0.50-0.53]
lapidarius,0.96 [0.96-0.96],0.63 [0.63-0.66]
lapponicus,0.90 [0.90-0.91],0.54 [0.39-0.64]
lucorum,0.97 [0.97-0.97],0.74 [0.68-0.78]
magnus,0.80 [0.79-0.80],0.42 [0.40-0.44]
mendax,0.90 [0.89-0.90],0.28 [0.25-0.40]
mesomelas,0.90 [0.88-0.92],0.43 [0.41-0.46]
monticola,0.89 [0.89-0.89],0.43 [0.41-0.48]
mucidus,0.90 [0.90-0.90],0.44 [0.42-0.47]
muscorum,0.86 [0.86-0.86],0.49 [0.46-0.52]
norvegicus,0.69 [0.68-0.70],0.40 [0.35-0.44]
pascuorum,0.98 [0.98-0.98],0.76 [0.74-0.81]
polaris,0.91 [0.87-0.91],0.58 [0.51-0.60]
pomorum,0.85 [0.85-0.86],0.46 [0.39-0.54]
pratorum,0.96 [0.96-0.96],0.74 [0.64-0.78]
pyrenaeus,0.94 [0.94-0.95],0.44 [0.43-0.52]
quadricolor,0.72 [0.70-0.74],0.39 [0.31-0.41]
ruderarius,0.91 [0.91-0.92],0.58 [0.57-0.64]
ruderatus,0.87 [0.86-0.87],0.44 [0.43-0.47]
rupestris,0.84 [0.84-0.84],0.51 [0.48-0.57]
sichelii,0.94 [0.92-0.94],0.36 [0.33-0.49]
soroeensis,0.89 [0.88-0.89],0.53 [0.51-0.55]
sporadicus,0.86 [0.85-0.86],0.42 [0.32-0.51]
subterraneus,0.84 [0.83-0.85],0.48 [0.48-0.57]
sylvarum,0.91 [0.90-0.91],0.56 [0.51-0.60]
sylvestris,0.88 [0.88-0.88],0.55 [0.52-0.60]
terrestris,0.97 [0.97-0.97],0.61 [0.53-0.63]
vestalis,0.90 [0.90-0.90],0.56 [0.54-0.59]
veteranus,0.86 [0.85-0.86],0.44 [0.39-0.46]
wurflenii,0.93 [0.92-0.93],0.50 [0.44-0.54]
