bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
alpinus,6.55,0.8,0.46,1.35,1.87,1.64,0.39,3.84,0.84,69.42,1.08,0.75,1.81,0.83,2.05,2.01,0.44,3.07,0.8
argillaceus,0.31,40,10.06,6.6,4.44,1.91,5.95,2.76,6.02,1.44,0.26,3.86,2.6,1.89,3.11,1.92,0.85,3.9,2.11
balteatus,16.58,0.79,6.12,2.56,2.52,1.07,0.62,2.4,1.08,55.06,2.89,0.33,0.46,0.48,2.86,0.2,0.53,2.22,1.26
barbutellus,15.26,2.67,13.9,1.03,9.82,2.71,2.94,5.86,2.13,23.09,9.04,0.41,0.77,0.48,5.06,1.14,0.46,2.65,0.58
bohemicus,16.32,11.64,3.64,4.01,11,1.59,1.31,3.58,23.52,1.69,1.54,0.52,0.61,1.08,0.52,0.56,1.02,15.22,0.62
campestris,39.59,1.7,4.9,4.37,6.77,2.36,1.9,3.47,2.61,8.71,2.92,2.23,0.87,1.49,3.13,0.86,2.83,8.2,1.09
cingulatus,6.32,1.4,2.85,5.8,2.9,38.75,1.26,1.41,2.1,4.38,21.29,1.24,0.52,0.39,0.6,3.67,0.55,3.33,1.24
confusus,1.08,9.38,0.89,2.73,6.47,1.84,8.12,43.08,4.58,1.12,0.36,1.26,0.52,3.1,3.1,1.23,4.88,5.6,0.66
consobrinus,56.03,2.05,10.13,6.09,1.39,0.55,0.22,3.29,1.07,4.23,1.19,0.69,2.45,1.55,1.33,0.91,0.13,6.25,0.47
cryptarum,1.02,0.78,9.59,29.06,3.41,1.81,0.67,4.12,7.32,1.36,0.92,0.54,0.96,0.33,20.14,0.46,0.31,13.53,3.67
distinguendus,3.39,5.48,0.93,26.9,7.08,0.58,1.42,10.66,5.4,10.76,0.68,2.29,1.73,0.64,1.28,0.34,3.95,8.82,7.68
flavidus,57.4,2.33,0.55,1.35,0.87,11.69,5.82,1.11,3.41,0.6,6.12,0.99,0.75,0.1,3.82,0.99,0.65,0.9,0.51
gerstaeckeri,0.75,1.06,1.04,3.08,0.5,3.05,2.61,1.29,9.24,1.38,0.52,1.05,4.05,0.52,6.64,6.4,8.28,45.77,2.76
hortorum,38.98,1.28,6.91,2.05,2.44,6.78,0.98,2.6,4.01,5.3,2.35,3.71,3.24,0.8,5.58,3.65,0.87,5.26,3.2
humilis,1.16,2.38,4.95,1.98,17.71,16.82,10.9,3.74,10.92,6.57,2.42,0.49,1.86,0.2,14.11,2.46,0.52,0.72,0.11
hypnorum,1.59,2.9,16.46,49.52,3.13,1.12,0.1,1.07,6.91,2.67,0.36,0.2,0.17,0.3,1.53,0.18,0.13,11.5,0.14
jonellus,4.44,0.84,0.77,4.32,32.37,0.69,2.64,6.95,2.15,21.15,0.76,2.2,1.87,2.23,6.91,3.51,2.3,1.85,2.04
lapidarius,17.56,0.97,6.31,3.36,21.38,1.39,0.46,4.34,2.47,1.94,10.98,1.82,6.83,5.37,5.16,2.49,1.07,1.96,4.15
lapponicus,3.11,0.94,11.28,0.45,1,0.33,1.26,1.29,0.8,72.68,0.96,0.43,0.34,0.15,2.92,0.46,0.29,1,0.31
lucorum,9.9,3.03,10.2,9.08,17.5,1.28,1.07,4.03,4.12,1.85,5.12,1.32,0.67,0.74,6.66,1.69,1.66,18.15,1.95
magnus,2.12,1.53,2.63,32.41,7.2,0.5,4.62,2.01,9.76,2.1,5.09,11,0.25,5.89,5.25,1.1,1.95,3.53,1.06
mendax,1.97,0.62,1.4,2.88,0.64,6.05,1.24,1.69,4.78,2.21,3.19,3.34,4.4,0.44,7.17,2.91,11.23,42.07,1.79
mesomelas,1.34,2.55,3.32,19.12,1.04,1.85,8.95,2.44,4.21,0.69,0.53,1.85,32.67,0.31,10.49,0.15,4.12,3.82,0.53
monticola,0.54,1.82,6.96,7.06,34.12,0.3,2.72,0.96,1.48,14.44,1.21,4.41,0.77,2.49,1.99,0.57,15.97,1.8,0.42
mucidus,2.29,0.74,2.18,4.39,0.28,6.65,16.44,1.22,2.83,1.88,0.55,17.28,9.83,0.73,7.32,0.58,12.92,9.98,1.92
muscorum,37.17,2.14,0.5,12.15,0.79,2.06,8.21,2.87,1.12,2.62,1.61,1.74,0.58,2.98,15.1,0.51,2.96,1.78,3.08
norvegicus,3.86,2.32,2.58,33.81,9.9,0.9,3.02,8.81,2.86,1.79,11.12,1.64,0.45,0.75,5.91,0.45,1.05,7.31,1.45
pascuorum,23.79,2.87,13.52,1.01,3.27,2.63,0.97,1.4,4.43,10.12,7.96,2.61,6.15,2.01,1.84,2.01,2.86,9.33,1.24
polaris,44.44,2.26,1.04,3.09,6.69,0.6,0.62,2.57,2.56,8.91,1.29,1.84,2.37,3.63,0.74,3.78,1.08,11.52,0.95
pomorum,2.11,21,1.67,3.54,6.64,1.85,6.55,30.88,3.21,2.37,3.02,1.78,0.71,0.4,5.15,1.27,2.37,3.66,1.83
pratorum,6.31,4,11.33,7.44,4.93,2.17,0.97,4.38,1.15,1.13,2.6,0.73,2.29,1.27,9.22,0.76,24.93,3.1,11.3
pyrenaeus,5.05,1.75,6.39,5.79,1.01,7.66,1.24,1.67,2.78,5.65,1.07,5.45,10.09,0.4,5.64,1.88,3.3,30.87,2.32
quadricolor,5.43,2.28,1.99,7.99,3.8,18.9,3.71,8.66,2.37,2.93,12.28,3.62,1.21,0.67,14.71,0.99,1.13,5.25,2.07
ruderarius,6.79,1.46,0.32,9.26,10.19,5.63,1.14,5.72,5.52,2.96,8.57,1.41,5.74,1.23,11.68,1.41,0.97,13.8,6.17
ruderatus,7.29,0.8,1.6,4.57,14.87,0.82,0.71,2.14,2.27,47.18,2,0.58,0.64,4.41,3.24,0.45,1.24,3.57,1.62
rupestris,2.04,1.75,2.57,7.15,17.16,8.19,3.61,2.89,3.03,6.1,5.51,0.86,0.83,2.13,15.78,1.54,2.19,15.06,1.59
sichelii,1.35,2.66,5.28,12.54,1.1,7.37,3.43,1.19,2.54,5.23,0.36,19.68,18.25,0.82,4.66,2.13,5.38,5.44,0.6
soroeensis,2.94,8.94,2.11,1.75,2.14,24.2,4.62,1.16,1.36,3.81,25.77,6.87,1.35,1.11,0.75,2.12,1.95,2.12,4.93
sporadicus,54.11,0.4,12.47,2.25,5.72,1.44,0.58,4.1,0.42,5.28,1.3,1.06,0.6,2.36,0.65,0.89,0.22,5.62,0.52
subterraneus,13.11,1.27,3.41,12.56,7.15,2.75,15.41,8.89,3.62,0.61,12.19,0.46,1.01,0.5,6.95,4.46,0.86,3.85,0.93
sylvarum,6.8,2.95,0.63,2.97,37.73,1.1,3.21,7.02,4.99,7.96,7.46,0.91,2,0.92,8.51,2.21,0.18,1.41,1.05
sylvestris,17.05,5.12,2.69,15.63,20.89,1.03,1.81,1.14,1.05,3.67,2.56,1.79,5.44,7.64,3.28,0.72,4.32,2.79,1.37
terrestris,33.58,7.52,6.61,2.18,4.49,2.71,0.7,1,2.64,0.41,20.02,0.93,0.93,0.52,5.61,4.97,1.32,2.05,1.8
vestalis,47.59,1.32,1.46,10.97,6.56,0.3,0.63,9.19,2.14,5.44,2.06,1.15,0.46,0.57,6.2,0.82,0.75,1.55,0.83
veteranus,2.18,2.13,0.96,7.25,11.93,1.38,0.52,49.21,2.8,2.28,2.59,0.23,0.47,0.76,0.77,0.15,0.87,12.64,0.86
wurflenii,1.79,6.62,2.26,10.58,0.81,11.93,1.26,1.5,0.66,2.69,4.38,3.56,20.75,0.59,0.79,3.35,4.08,22.16,0.26
