,fold1,fold2,fold3,fold4,fold5
alpinus,0.09,0.11,0.09,0.09,0.07
argillaceus,0.05,0.06,0.06,0.08,0.05
balteatus,0.05,0.04,0.04,0.04,0.04
barbutellus,0.2,0.16,0.2,0.22,0.2
bohemicus,0.42,0.45,0.44,0.4,0.38
campestris,0.22,0.32,0.26,0.3,0.22
cingulatus,0.05,0.05,0.05,0.05,0.05
confusus,0.1,0.11,0.12,0.11,0.11
consobrinus,0.03,0.03,0.03,0.03,0.03
cryptarum,0.24,0.2,0.26,0.22,0.25
distinguendus,0.31,0.34,0.3,0.29,0.3
flavidus,0.11,0.12,0.11,0.11,0.14
gerstaeckeri,0.05,0.06,0.04,0.04,0.04
hortorum,0.53,0.57,0.53,0.55,0.57
humilis,0.26,0.23,0.23,0.28,0.21
hypnorum,0.18,0.19,0.2,0.27,0.2
jonellus,0.32,0.36,0.31,0.33,0.33
lapidarius,0.36,0.32,0.34,0.32,0.28
lapponicus,0.03,0.03,0.03,0.03,0.03
lucorum,0.43,0.46,0.41,0.46,0.44
magnus,0.32,0.33,0.27,0.29,0.36
mendax,0.04,0.02,0.02,0.02,0.03
mesomelas,0.04,0.04,0.04,0.04,0.03
monticola,0.1,0.1,0.1,0.1,0.1
mucidus,0.04,0.03,0.04,0.04,0.03
muscorum,0.35,0.39,0.37,0.35,0.4
norvegicus,0.27,0.23,0.25,0.26,0.24
pascuorum,0.58,0.57,0.58,0.57,0.61
polaris,0.05,0.05,0.13,0.07,0.05
pomorum,0.1,0.11,0.13,0.1,0.09
pratorum,0.57,0.56,0.6,0.59,0.57
pyrenaeus,0.03,0.03,0.03,0.02,0.03
quadricolor,0.23,0.18,0.24,0.2,0.27
ruderarius,0.3,0.33,0.27,0.29,0.27
ruderatus,0.12,0.13,0.12,0.12,0.14
rupestris,0.31,0.31,0.27,0.25,0.28
sichelii,0.02,0.02,0.03,0.02,0.03
soroeensis,0.36,0.38,0.39,0.36,0.38
sporadicus,0.05,0.06,0.05,0.05,0.05
subterraneus,0.19,0.27,0.24,0.24,0.21
sylvarum,0.24,0.26,0.26,0.24,0.25
sylvestris,0.44,0.45,0.42,0.4,0.44
terrestris,0.1,0.12,0.12,0.12,0.12
vestalis,0.06,0.07,0.08,0.08,0.08
veteranus,0.12,0.11,0.13,0.12,0.12
wurflenii,0.07,0.07,0.08,0.07,0.07
